name,obs,nmiss,unique,mean,std_dev,median,mode,min,max,p1,p5,p25,p75,p95,p99,skewness,
mths_since_last_record,2786,36931,111,-,-,-,"0    0
dtype: object",-,-,-,-,-,-,-,-,-,
open_acc,39717,0,40,-,-,-,"0    7
dtype: object",-,-,-,-,-,-,-,-,-,
pub_rec,39717,0,5,-,-,-,"0    0
dtype: object",-,-,-,-,-,-,-,-,-,
total_acc,39717,0,82,-,-,-,"0    16
dtype: object",-,-,-,-,-,-,-,-,-,
initial_list_status,39717,0,1,-,-,-,"0    f
dtype: object",-,-,-,-,-,-,-,-,-,
last_pymnt_d,39646,71,101,-,-,-,"0    5/16/2018
dtype: object",-,-,-,-,-,-,-,-,-,
next_pymnt_d,1140,38577,2,-,-,-,"0    6/16/2018
dtype: object",-,-,-,-,-,-,-,-,-,
last_credit_pull_d,39715,2,106,-,-,-,"0    5/16/2018
dtype: object",-,-,-,-,-,-,-,-,-,
collections_12_mths_ex_med,39661,56,1,-,-,-,"0    0
dtype: object",-,-,-,-,-,-,-,-,-,
mths_since_last_major_derog,0,39717,0,-,-,-,"Series([], dtype: object)",-,-,-,-,-,-,-,-,-,
policy_code,39717,0,1,-,-,-,"0    1
dtype: object",-,-,-,-,-,-,-,-,-,
application_type,39717,0,1,-,-,-,"0    INDIVIDUAL
dtype: object",-,-,-,-,-,-,-,-,-,
annual_inc_joint,0,39717,0,-,-,-,"Series([], dtype: object)",-,-,-,-,-,-,-,-,-,
dti_joint,0,39717,0,-,-,-,"Series([], dtype: object)",-,-,-,-,-,-,-,-,-,
verification_status_joint,0,39717,0,-,-,-,"Series([], dtype: object)",-,-,-,-,-,-,-,-,-,
acc_now_delinq,39717,0,1,-,-,-,"0    0
dtype: object",-,-,-,-,-,-,-,-,-,
tot_coll_amt,0,39717,0,-,-,-,"Series([], dtype: object)",-,-,-,-,-,-,-,-,-,
tot_cur_bal,0,39717,0,-,-,-,"Series([], dtype: object)",-,-,-,-,-,-,-,-,-,
open_acc_6m,0,39717,0,-,-,-,"Series([], dtype: object)",-,-,-,-,-,-,-,-,-,
open_il_6m,0,39717,0,-,-,-,"Series([], dtype: object)",-,-,-,-,-,-,-,-,-,
